eventReceivedTimestamp,dedupedEventCount,failedEventCount,deliveredNestedEventCount
1543910400000,52865222,841470,51553599
1543914000000,47913697,775175,46730413
1543917600000,49495753,899242,48180636
1543921200000,61186743,994149,59628586
1543924800000,84832681,1354762,82608714
1543928400000,96416379,1559471,93877061
1543932000000,99563633,1536007,97014803
1543935600000,108123519,1636311,105343060
1543939200000,111957732,1634970,109113995
1543942800000,112482427,1538514,109651361
1543946400000,110075395,632914,107341811
1543950000000,112268523,659516,109386659
1543953600000,115003505,665517,112087010
1543957200000,116317189,696921,113368178
1543960800000,119860232,707320,116819939
1543964400000,115040592,664555,112169668
1543968000000,102468148,602557,99880454
1543971600000,94761696,588529,92298973
1543975200000,87496282,529154,85240758
1543978800000,80127476,477798,78017524
1543982400000,71344820,417700,69470766
1543986000000,64542883,361860,62874609
1543989600000,61351505,329990,59698403
1543993200000,56356981,299630,54910594
1543996800000,53321333,246344,51930962
1544000400000,48426508,238849,47206739
1544004000000,49633257,259870,48324982
1544007600000,60636331,308173,59029537
1544011200000,83236336,415507,81013860
1544014800000,95545668,514949,92978723
1544018400000,99481072,525638,96844418
1544022000000,107620227,554117,104792987
1544025600000,111401419,575663,108414143
1544029200000,111931711,608531,107629380
1544032800000,110566047,589413,104043112
1544036400000,112807307,665092,104830229
1544040000000,114331705,215893,57586100
1544043600000,102914253
1544047200000,1436225
1544050800000,873768
1533938400000,103785464,1687759,100939729
1533942000000,97420533,1642333,94696543
1533945600000,92598344,1571204,90007962
1533949200000,88064198,1531265,85554195
1533952800000,82471464,1497751,80059131
1533956400000,74768396,1368626,72569128
1533960000000,65692808,1230836,63740962
1533963600000,57391141,1084578,55674854
1533967200000,52076072,984604,50535462
1533970800000,49577124,871533,48177331
1533974400000,48297122,875614,46910814
1533978000000,48337916,884411,46951329
1533981600000,49810752,891287,48397973
1533985200000,53601210,925824,52121060
1533988800000,61151258,1018117,59487321
1533992400000,70551780,1190125,68601193
1533996000000,81205824,1328961,78961196
1533999600000,90917939,1451820,88435317
1534003200000,97619280,1538421,94945674
1534006800000,100490015,1593865,97713611
1534010400000,99821243,719996,97043026
1534014000000,97643424,644811,94827153
1534017600000,94881232,651867,91940440
1534021200000,91580335,614877,88747710
1534024800000,88491188,586916,85682758
1534028400000,85224953,578620,82463237
1534032000000,82537422,554100,79820787
1534035600000,80212154,545136,77423456
1534039200000,76474283,521489,73663512
1534042800000,70578964,473036,67871655
1534046400000,62717294,421115,60174903
1534050000000,54799949,344498,52592001
1534053600000,49304678,311605,47209626
1534057200000,45622248,288729,43692387
1534060800000,44062700,257823,42178061
1534064400000,43893958,266341,42026141
1534068000000,44493680,262194,42572319
1534071600000,46662899,286163,44644481
1534075200000,51653111,318387,49305155
1534078800000,59917827,317556,57247183
1534082400000,70613800,420049,67325136
1534086000000,79660123,507092,75740778
1534089600000,86726240,505673,82351299
1534093200000,91917230,552104,87047565
1534096800000,93079492,571922,85500917
1534100400000,91575123,561560,83037381
1534104000000,89114597,577437,79307561
1534107600000,86609737,44991,5589645
1534111200000,48617214
1534114800000,1265309
1534118400000,143711
1534374000000,2,2
1534410000000,6,1,5
1534438800000,2,2
1534503600000,3,3
1534507200000,5,5
1534708800000,2,1,1
1534744800000,2,1,1
1534885200000,2
1542837600000,6,3,3
1546840800000,1,1
1541440800000,107431603,1587253,104318799
1541444400000,108474053,1604248,105233308
1541448000000,110297392,1621270,107026827
1541451600000,111781131,1666833,108450944
1541455200000,115320854,1658511,112040918
1541458800000,111454390,1648865,108254379
1541462400000,100104964,1551701,97136860
1541466000000,91522101,1449997,88742278
1541469600000,82301558,1289094,79794015
1541473200000,73761212,1167272,71515347
1541476800000,66048477,1040962,64073569
1541480400000,60740879,959486,58946244
1541484000000,57872126,876086,56216715
1541487600000,53704910,844641,52182294
1541491200000,50700258,809490,49280123
1541494800000,45834725,794493,44512753
1541498400000,47464909,825815,46090968
1541502000000,57998588,948143,56331623
1541505600000,79157313,1275959,76804959
1541509200000,92360638,1442922,89648213
1541512800000,98197617,1479205,95329696
1541516400000,107429635,1541436,104320198
1541520000000,110774337,1369247,107564576
1541523600000,111314001,593957,108074930
1541527200000,107903593,612142,104732635
1541530800000,107141634,621965,103976164
1541534400000,109195722,641421,105793541
1541538000000,111620716,691336,108084871
1541541600000,116214739,673085,112535527
1541545200000,112307532,637078,108714986
1541548800000,99937965,588535,96510801
1541552400000,91335520,577485,88103712
1541556000000,82507953,488069,79490047
1541559600000,73634049,459716,70760691
1541563200000,65768052,412495,63092815
1541566800000,60586999,348854,58123381
1541570400000,57926309,321400,55594068
1541574000000,53564704,231015,51486551
1541577600000,50910142,218248,48918003
1541581200000,46255491,188644,44327007
1541584800000,48154699,220910,46053865
1541588400000,61197974,292176,58438859
1541592000000,86122141,433918,82063612
1541595600000,97989601,485237,93207240
1541599200000,100663550,514845,94399021
1541602800000,107801514,535124,98963109
1541606400000,110655042,557934,100421872
1541610000000,110810558,330291,56405904
1541613600000,107721914
1541617200000,8621901
1541620800000,10626
